66,67,68,69,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
Total Reward,Total Profit,Ticket,Model,Start Period,End Period,Risk-Free Rate,Time in Market,Cumulative Return,CAGR﹪,Sharpe,Prob. Sharpe Ratio,Smart Sharpe,Sortino,Smart Sortino,Sortino/√2,Smart Sortino/√2,Omega,Max Drawdown,Longest DD Days,Volatility (ann.),Calmar,Skew,Kurtosis,Expected Daily,Expected Monthly,Expected Yearly,Kelly Criterion,Risk of Ruin,Daily Value-at-Risk,Expected Shortfall (cVaR),Max Consecutive Wins,Max Consecutive Losses,Gain/Pain Ratio,Gain/Pain (1M),Payoff Ratio,Profit Factor,Common Sense Ratio,CPC Index,Tail Ratio,Outlier Win Ratio,Outlier Loss Ratio,MTD,3M,6M,YTD,1Y,3Y (ann.),5Y (ann.),10Y (ann.),All-time (ann.),Best Day,Worst Day,Best Month,Worst Month,Best Year,Worst Year,Avg. Drawdown,Avg. Drawdown Days,Recovery Factor,Ulcer Index,Serenity Index,Avg. Up Month,Avg. Down Month,Win Days,Win Month,Win Quarter,Win Year,Action Sell,Action Buy
0,9636.257000000036,GBPUSD60,GRU,2020-01-01,2035-02-19,0.0%,100.0%,-3.64%,-0.17%,-8.44,0.0%,-5.03,-8.49,-5.06,-6.0,-3.58,0.24,-3.64%,5528,0.03%,-0.05,0.72,6.35,-0.0%,-0.02%,-0.23%,-70.58%,0.0%,-0.0%,-0.0%,10,77,-0.76,-0.96,0.84,0.24,0.14,0.04,0.57,3.19,3.41,-0.02%,-0.07%,-0.08%,-0.06%,-0.17%,-0.13%,-0.16%,-0.17%,-0.17%,0.02%,-0.01%,0.02%,-0.06%,-0.0%,-0.37%,-3.64%,5528,1.02,0.02,-0.0,0.01%,-0.02%,22.29%,14.84%,9.84%,0.0%,0,0
0,9736.193000000038,GBPUSD60,LSTM,2020-01-01,2035-02-19,0.0%,100.0%,-2.64%,-0.12%,-6.23,0.0%,-3.68,-6.97,-4.12,-4.93,-2.91,0.35,-2.64%,5528,0.03%,-0.05,0.79,6.29,-0.0%,-0.01%,-0.17%,-51.57%,0.0%,-0.0%,-0.0%,10,61,-0.65,-0.92,0.92,0.35,0.24,0.09,0.7,3.32,3.51,-0.01%,-0.03%,-0.04%,-0.02%,-0.07%,-0.09%,-0.12%,-0.13%,-0.12%,0.02%,-0.01%,0.02%,-0.05%,0.01%,-0.34%,-2.64%,5528,1.01,0.02,-0.0,0.01%,-0.02%,27.23%,20.88%,14.75%,6.25%,0,0
233.79999999997543,0.8054274220623565,GBPUSD60,PPO,2023-04-17,2023-12-04,0.0%,23.0%,-19.46%,-21.11%,-1.42,0.0%,-1.41,-1.75,-1.73,-1.23,-1.22,0.56,-19.62%,231,0.97%,-1.08,-2.04,43.92,-0.01%,-2.38%,-19.46%,-30.41%,0.0%,-0.11%,-0.11%,1,1,-0.69,-0.94,0.87,0.56,0.26,0.19,0.46,20.13,2.49,0.51%,-5.84%,-14.75%,-19.46%,-19.46%,-21.11%,-21.11%,-21.11%,-21.11%,0.6%,-0.99%,0.88%,-5.66%,-19.46%,-19.46%,-19.62%,231,1.1,0.12,-0.01,0.7%,-3.23%,39.42%,22.22%,0.0%,0.0%,1398,2553
-47.40000000002013,0.9596249899183869,GBPUSD60,TR-DQN,2023-04-17,2023-12-04,0.0%,3.0%,-4.04%,-4.42%,-0.19,21.92%,-0.19,-0.26,-0.26,-0.18,-0.18,0.82,-6.18%,162,1.31%,-0.71,-1.79,134.82,-0.0%,-0.46%,-4.04%,-9.53%,0.0%,-0.14%,-0.14%,1,1,-0.19,-0.37,1.05,0.82,-,0.38,-,10.38,0.45,-0.24%,-1.22%,-3.12%,-4.04%,-4.04%,-4.42%,-4.42%,-4.42%,-4.42%,1.33%,-1.63%,4.28%,-4.44%,-4.04%,-4.04%,-4.09%,77,0.65,0.03,-0.02,2.25%,-1.77%,43.81%,33.33%,33.33%,0.0%,3843,108
48099.99999999901,0.9704950024795624,USDJPY60,A2C,2023-04-17,2023-12-04,0.0%,23.0%,-2.95%,-3.22%,-0.18,23.45%,-0.18,-0.27,-0.27,-0.19,-0.19,0.92,-4.9%,223,1.01%,-0.66,1.54,64.74,-0.0%,-0.33%,-2.95%,-3.87%,0.0%,-0.1%,-0.1%,1,1,-0.15,-0.46,1.03,0.92,0.78,0.45,0.84,20.15,2.64,0.53%,-0.63%,0.73%,-2.95%,-2.95%,-3.22%,-3.22%,-3.22%,-3.22%,1.16%,-0.91%,1.39%,-2.7%,-2.95%,-2.95%,-1.9%,77,0.59,0.04,-0.01,0.85%,-1.27%,47.19%,44.44%,66.67%,0.0%,1403,2548
-14939.99999998356,0.9500534702606271,USDJPY60,DQN,2023-04-17,2023-12-04,0.0%,17.0%,-4.99%,-5.46%,-0.34,9.5%,-0.34,-0.5,-0.5,-0.36,-0.36,0.85,-6.73%,230,0.94%,-0.81,3.26,113.76,-0.0%,-0.57%,-4.99%,-8.23%,0.0%,-0.1%,-0.1%,1,1,-0.25,-0.6,1.02,0.85,0.62,0.39,0.73,21.84,2.27,-0.13%,-1.46%,-2.25%,-4.99%,-4.99%,-5.46%,-5.46%,-5.46%,-5.46%,1.42%,-0.71%,1.72%,-2.07%,-4.99%,-4.99%,-3.4%,116,0.75,0.04,-0.01,1.69%,-1.2%,45.45%,22.22%,33.33%,0.0%,1401,2550
0,35122.90000000009,USDJPY60,GRU,2020-01-01,2035-02-19,0.0%,100.0%,250.62%,5.89%,4.7,100.0%,2.89,9.84,6.04,6.96,4.27,2.72,-5.27%,290,1.71%,1.12,1.44,11.32,0.03%,0.69%,8.16%,41.69%,0.0%,-0.14%,-0.14%,37,12,1.72,5.53,1.41,2.72,5.41,2.53,1.99,5.31,4.2,0.05%,0.14%,0.51%,0.4%,-0.01%,1.17%,2.09%,3.61%,5.89%,1.09%,-0.79%,6.17%,-2.37%,21.34%,-0.27%,-0.15%,10,23.86,0.01,6.44,1.04%,-0.6%,65.91%,79.12%,90.16%,93.75%,0,0
0,34470.30000000011,USDJPY60,LSTM,2020-01-01,2035-02-19,0.0%,100.0%,244.1%,5.8%,4.77,100.0%,2.93,10.22,6.27,7.23,4.43,2.75,-4.74%,452,1.66%,1.22,1.5,11.42,0.03%,0.68%,8.03%,41.43%,0.0%,-0.14%,-0.14%,37,17,1.75,5.86,1.48,2.75,5.65,2.65,2.05,5.2,4.15,0.37%,0.19%,0.34%,0.46%,-0.13%,0.85%,1.78%,3.22%,5.8%,1.06%,-0.79%,6.02%,-2.1%,22.51%,-0.74%,-0.15%,11,26.1,0.01,6.45,1.01%,-0.55%,65.05%,79.12%,86.89%,93.75%,0,0
-2110.0000000035543,0.9550670605539905,USDJPY60,PPO,2023-04-17,2023-12-04,0.0%,25.0%,-4.49%,-4.91%,-0.24,17.62%,-0.24,-0.33,-0.33,-0.23,-0.23,0.91,-10.01%,197,1.21%,-0.49,0.17,52.2,-0.0%,-0.51%,-4.49%,-4.7%,0.0%,-0.13%,-0.13%,1,1,-0.19,-0.48,1.01,0.91,0.81,0.44,0.89,17.66,2.64,0.2%,-0.11%,-6.17%,-4.49%,-4.49%,-4.91%,-4.91%,-4.91%,-4.91%,1.16%,-1.16%,2.86%,-3.14%,-4.49%,-4.49%,-1.06%,19,0.45,0.06,-0.01,1.23%,-1.87%,47.43%,44.44%,33.33%,0.0%,2048,1903
111489.999999999,0.9915495096903895,USDJPY60,TR-DQN,2023-04-17,2023-12-04,0.0%,20.0%,-0.84%,-0.92%,-0.04,43.42%,-0.04,-0.06,-0.06,-0.04,-0.04,0.98,-5.0%,222,1.13%,-0.18,-0.22,82.48,-0.0%,-0.09%,-0.84%,-0.93%,0.0%,-0.12%,-0.12%,1,1,-0.03,-0.18,1.09,0.98,0.86,0.51,0.88,21.28,2.37,0.91%,3.09%,0.93%,-0.84%,-0.84%,-0.92%,-0.92%,-0.92%,-0.92%,1.28%,-1.16%,1.76%,-2.06%,-0.84%,-0.84%,-1.93%,77,0.15,0.03,-0.0,0.87%,-0.85%,47.34%,44.44%,33.33%,0.0%,2027,1924
