Ticket,Model,Weighted Score
 USDCAD5,A2C(LSTM),0.5805
 EURUSD5,A2C(LSTM),0.531
 USDCAD5,DQN(LSTM),0.5305
 EURUSD5,DQN(LSTM),0.4795
 GBPUSD5,A2C(LSTM),0.4659
 GBPUSD5,DQN(GRU),0.4629
 EURUSD5,DQN(GRU),0.4551
 GBPUSD5,DQN(LSTM),0.4319
 GBPUSD5,PPO(GRU),0.383
 USDCAD5,PPO(GRU),0.3786
 EURUSD5,PPO(GRU),0.3671
 USDCAD5,DQN(GRU),0.3525
USDCAD5,PPO(LSTM),0.241
USDCAD5,A2C(GRU),0.2215
GBPUSD5,A2C(GRU),0.1712
GBPUSD5,PPO(LSTM),0.1413
EURUSD5,A2C(GRU),-0.0184
EURUSD5,PPO(LSTM),-0.0556
