Total Reward,Total Profit,Ticket,Model,Start Period,End Period,Risk-Free Rate,Time in Market,Cumulative Return,CAGR﹪,Sharpe,Prob. Sharpe Ratio,Smart Sharpe,Sortino,Smart Sortino,Sortino/√2,Smart Sortino/√2,Omega,Max Drawdown,Longest DD Days,Volatility (ann.),Calmar,Skew,Kurtosis,Expected Daily,Expected Monthly,Expected Yearly,Kelly Criterion,Risk of Ruin,Daily Value-at-Risk,Expected Shortfall (cVaR),Max Consecutive Wins,Max Consecutive Losses,Gain/Pain Ratio,Gain/Pain (1M),Payoff Ratio,Profit Factor,Common Sense Ratio,CPC Index,Tail Ratio,Outlier Win Ratio,Outlier Loss Ratio,MTD,3M,6M,YTD,1Y,3Y (ann.),5Y (ann.),10Y (ann.),All-time (ann.),Best Day,Worst Day,Best Month,Worst Month,Best Year,Worst Year,Avg. Drawdown,Avg. Drawdown Days,Recovery Factor,Ulcer Index,Serenity Index,Avg. Up Month,Avg. Down Month,Win Days,Win Month,Win Quarter,Win Year,Action Sell,Action Buy
-2922.5999999999917,0.8393011642429821,USDCAD1440,PPO,2020-10-06,2023-12-04,0.0%,23.0%,-16.07%,-3.75%,-1.15,0.89%,-1.14,-1.45,-1.44,-1.02,-1.02,0.65,-18.59%,987,3.83%,-0.2,-1.58,26.87,-0.02%,-0.45%,-4.29%,-21.65%,0.0%,-0.41%,-0.41%,1,1,-0.35,-0.7,0.97,0.65,0.34,0.25,0.53,21.69,2.32,0.06%,0.76%,-0.44%,-1.79%,-3.06%,-3.98%,-3.75%,-3.75%,-3.75%,1.64%,-2.6%,2.05%,-3.07%,-0.37%,-7.8%,-6.8%,377,0.93,0.12,-0.02,0.47%,-1.08%,40.0%,41.03%,15.38%,0.0%,411,579
262.79999999999865,0.9951764686153606,USDCAD1440,TR-DQN,2020-10-06,2023-12-04,0.0%,3.0%,-0.41%,-0.09%,-0.08,43.55%,-0.08,-0.11,-0.11,-0.08,-0.08,0.93,-2.92%,469,1.19%,-0.03,-1.53,87.54,-0.0%,-0.01%,-0.1%,-3.85%,0.0%,-0.12%,-0.12%,1,1,-0.07,-0.1,0.99,0.93,-,0.44,-,16.86,0.37,0.0%,0.0%,-0.57%,-0.88%,-0.63%,-0.36%,-0.09%,-0.09%,-0.09%,0.84%,-1.0%,0.72%,-1.77%,1.12%,-0.88%,-1.04%,249,0.13,0.01,-0.01,0.33%,-0.37%,48.28%,50.0%,50.0%,25.0%,31,959
620.599999999998,1.0653449902668946,USDCHF1440,A2C,2020-10-06,2023-12-04,0.0%,6.0%,6.53%,1.39%,0.26,69.23%,0.26,0.35,0.35,0.25,0.25,1.23,-8.54%,828,7.21%,0.16,-2.75,72.83,0.01%,0.16%,1.6%,10.26%,0.0%,-0.74%,-0.74%,1,1,0.23,0.33,1.01,1.23,-,0.68,-,44.93,0.47,3.6%,-0.53%,2.67%,7.48%,8.26%,0.66%,1.39%,1.39%,1.39%,3.83%,-5.59%,3.83%,-4.4%,7.48%,-2.31%,-5.26%,326,0.86,0.04,0.15,1.56%,-1.88%,54.9%,61.29%,61.54%,50.0%,933,57
-840.5999999999801,0.9491837466916466,USDCHF1440,DQN,2020-10-06,2023-12-04,0.0%,11.0%,-5.08%,-1.13%,-0.17,37.06%,-0.17,-0.25,-0.25,-0.18,-0.18,0.92,-13.48%,1075,6.61%,-0.08,1.6,28.8,-0.01%,-0.13%,-1.3%,-3.84%,0.0%,-0.69%,-0.69%,1,1,-0.08,-0.16,1.11,0.92,0.0,0.46,0.0,30.62,1.85,1.29%,-0.71%,0.69%,0.93%,0.93%,-1.68%,-1.13%,-1.13%,-1.13%,4.32%,-2.25%,2.49%,-3.3%,1.97%,-4.87%,-5.48%,373,0.32,0.07,-0.02,1.22%,-1.4%,45.37%,48.72%,46.15%,50.0%,875,115
2580.5999999999945,1.0944603535091715,USDCHF1440,PPO,2020-10-06,2023-12-04,0.0%,25.0%,9.38%,1.98%,0.41,80.06%,0.41,0.7,0.7,0.5,0.5,1.16,-6.53%,687,6.01%,0.3,3.09,35.75,0.01%,0.23%,2.27%,6.8%,0.0%,-0.61%,-0.61%,1,1,0.16,0.49,1.24,1.16,1.25,0.7,1.08,16.19,2.3,0.63%,-0.11%,1.08%,5.27%,5.53%,1.36%,1.98%,1.98%,1.98%,4.44%,-2.07%,4.44%,-3.27%,5.27%,-1.4%,-1.97%,92,1.48,0.03,0.27,1.32%,-1.15%,48.37%,56.41%,53.85%,75.0%,544,446
-2373.9999999999995,0.8681376671462054,USDCHF1440,TR-DQN,2020-10-06,2023-12-04,0.0%,13.0%,-13.24%,-3.05%,-1.71,0.33%,-1.69,-2.27,-2.24,-1.6,-1.59,0.38,-14.7%,1061,2.1%,-0.21,2.75,93.02,-0.01%,-0.36%,-3.49%,-39.19%,0.0%,-0.23%,-0.23%,1,1,-0.62,-0.86,1.21,0.38,0.0,0.11,0.0,29.32,2.12,0.15%,-0.72%,-1.38%,-5.14%,-6.99%,-3.59%,-3.05%,-3.05%,-3.05%,2.17%,-1.13%,0.66%,-1.95%,1.25%,-6.33%,-3.75%,279,0.96,0.08,-0.02,0.26%,-0.55%,23.81%,23.08%,7.69%,25.0%,161,829
-253150.00000000096,0.7710846990193647,USDJPY1440,A2C,2020-10-06,2023-12-04,0.0%,24.0%,-22.89%,-5.52%,-0.96,3.29%,-0.96,-1.29,-1.28,-0.91,-0.91,0.69,-27.4%,1065,6.68%,-0.2,0.64,28.36,-0.03%,-0.66%,-6.29%,-19.47%,0.0%,-0.72%,-0.72%,1,1,-0.31,-0.57,0.87,0.69,0.43,0.27,0.62,17.68,2.54,0.0%,-0.78%,-0.77%,-7.45%,-8.11%,-6.73%,-5.52%,-5.52%,-5.52%,4.45%,-3.07%,2.87%,-4.14%,3.48%,-10.75%,-7.02%,278,0.92,0.16,-0.02,1.36%,-1.84%,44.3%,36.84%,30.77%,25.0%,605,385
-279839.9999999979,0.7681125786329663,USDJPY1440,DQN,2020-10-06,2023-12-04,0.0%,21.0%,-23.19%,-5.6%,-1.11,1.0%,-1.1,-1.34,-1.33,-0.95,-0.94,0.65,-26.84%,1118,5.92%,-0.21,-1.96,19.89,-0.03%,-0.67%,-6.38%,-24.16%,0.0%,-0.64%,-0.64%,1,1,-0.35,-0.6,0.8,0.65,0.39,0.23,0.6,21.33,2.58,1.12%,0.49%,-4.74%,-10.19%,-9.86%,-5.82%,-5.6%,-5.6%,-5.6%,2.47%,-3.13%,6.37%,-5.38%,-1.04%,-10.19%,-9.11%,375,0.96,0.14,-0.03,1.33%,-1.65%,44.66%,33.33%,23.08%,0.0%,594,396
-459689.9999999973,0.7149340486729036,USDJPY1440,PPO,2020-10-06,2023-12-04,0.0%,26.0%,-28.51%,-7.07%,-1.5,0.14%,-1.48,-1.89,-1.87,-1.33,-1.32,0.57,-31.35%,1107,5.6%,-0.23,-0.65,23.3,-0.03%,-0.86%,-8.05%,-28.09%,0.0%,-0.61%,-0.61%,1,1,-0.43,-0.73,0.94,0.57,0.31,0.2,0.53,21.19,2.59,0.91%,0.44%,-5.99%,-3.74%,-1.62%,-7.85%,-7.07%,-7.07%,-7.07%,3.15%,-3.02%,4.48%,-6.02%,0.96%,-20.8%,-8.06%,281,1.05,0.19,-0.02,1.22%,-1.55%,37.9%,25.64%,23.08%,25.0%,528,462
-432829.9999999969,0.7193221400297563,USDJPY1440,TR-DQN,2020-10-06,2023-12-04,0.0%,17.0%,-28.07%,-6.94%,-1.06,1.77%,-1.05,-1.34,-1.33,-0.95,-0.94,0.61,-32.77%,1056,7.67%,-0.21,-0.86,40.92,-0.03%,-0.84%,-7.91%,-28.18%,0.0%,-0.83%,-0.83%,1,1,-0.39,-0.57,0.79,0.61,0.19,0.21,0.31,22.72,1.86,2.12%,2.01%,-2.83%,-8.69%,-6.18%,-7.82%,-6.94%,-6.94%,-6.94%,5.21%,-4.8%,4.78%,-6.58%,1.46%,-18.91%,-8.48%,275,0.97,0.18,-0.02,1.38%,-2.5%,43.4%,43.59%,38.46%,25.0%,815,175
